Step,Section,Field_Name,Field_Type,Required,Validation,Options,Description,Applies_To,Conditional_Logic
4,Employment - Director,business_address,string,conditional,min 1 char,,Company address,All applicants,Required if employment_status=director
4,Employment - Director,business_website,string,FALSE,,,Company website URL,All applicants,Only if employment_status=director
4,Employment - Director,company_creation_date,Date,conditional,valid date,,Company creation/registration date,All applicants,Required if employment_status=director
4,Employment - Director,total_gross_annual_income,number,FALSE,min 0,,Total gross annual income,All applicants,Only if employment_status=director
4,Employment - Director,net_annual_income,number,FALSE,min 0,,Net annual income,All applicants,Only if employment_status=director
4,Employment - Director,company_stake_percentage,number,conditional,min 0 max 100,,Percentage ownership in company,All applicants,Required if employment_status=director
4,Employment - Director,bonus_overtime_commission_details,string,FALSE,,,Details of bonus/overtime/commission,All applicants,Only if employment_status=director
4,Employment - Director,accountant_can_provide_info,boolean,conditional,,,Whether accountant can provide financial information,All applicants,Required if employment_status=director
4,Employment - Director,accountant_contact_details,string,conditional,min 1 char,,Accountant's contact details,All applicants,Required if accountant_can_provide_info=true
4,Financial Commitments,personal_loans,number,TRUE,min 0,,Outstanding personal loans amount,All applicants,
4,Financial Commitments,credit_card_debt,number,TRUE,min 0,,Outstanding credit card debt,All applicants,
4,Financial Commitments,car_loans_lease,number,TRUE,min 0,,Car loans/lease payments,All applicants,
4,Financial Commitments,has_credit_or_legal_issues,boolean,TRUE,,,Whether applicant has credit or legal issues,All applicants,
4,Financial Commitments,credit_legal_issues_details,string,conditional,min 1 char,,Details of credit or legal issues,All applicants,Required if has_credit_or_legal_issues=true
5,Portfolio,has_rental_properties,boolean,TRUE,,,Whether applicant(s) have rental properties,Application-wide,
5,Portfolio,rental_properties,array,conditional,min 1 when has_rental_properties=true,,Array of rental properties owned,Application-wide,Required if has_rental_properties=true
5,Rental Property,property_address,string,TRUE,min 1 char,,Rental property address,Application-wide,For each rental property
5,Rental Property,current_valuation,number,FALSE,min 0,,Current property valuation,Application-wide,For each rental property
5,Rental Property,mortgage_outstanding,number,FALSE,min 0,,Outstanding mortgage on rental property,Application-wide,For each rental property
5,Rental Property,monthly_mortgage_payment,number,FALSE,min 0,,Monthly mortgage payment for rental property,Application-wide,For each rental property
5,Rental Property,monthly_rent_received,number,FALSE,min 0,,Monthly rent received from property,Application-wide,For each rental property
5,Portfolio,other_assets,string,FALSE,,,Description of other assets,Application-wide,
6,Spanish Property,urgency_level,enum,TRUE,,"urgent,pre_approval,general_info,other",Urgency level for property purchase,Application-wide,
6,Spanish Property,purchase_price,number,TRUE,min 1,,Spanish property purchase price,Application-wide,
6,Spanish Property,deposit_available,number,TRUE,min 1,,Deposit amount available,Application-wide,
6,Spanish Property,property_address,string,TRUE,min 1 char,,Spanish property address,Application-wide,
6,Spanish Property,home_status,enum,TRUE,,"main_residence,holiday_home,investment,other",Intended use of Spanish property,Application-wide,
6,Spanish Property,property_type,enum,TRUE,,"urban,rustic,commercial",Type of Spanish property,Application-wide,
6,Spanish Property,real_estate_agent_contact,string,FALSE,,,Real estate agent contact details,Application-wide,
6,Spanish Property,lawyer_contact,string,FALSE,,,Lawyer contact details,Application-wide,
6,Spanish Property,additional_information,string,FALSE,,,Any additional information or notes,Application-wide,
6,Spanish Property,authorization_consent,boolean,TRUE,must be true,,Authorization and consent checkbox,Application-wide,
META,Metadata,currentStep,number,FALSE,1-6,,Current step in the application process,System,
META,Metadata,applicationId,string,FALSE,,,Unique application identifier,System,
META,Metadata,ghlContactId,string,FALSE,,,GoHighLevel contact ID for lead tracking,System,
META,Metadata,ghlOpportunityId,string,FALSE,,,GoHighLevel opportunity ID for pipeline tracking,System,
